Direction,Order,Expiration,Asset,Open time,Close time,Open price,Close price,Trade amount,Profit,Currency
call,0f2129a0-8457-4bf6-9f30-f4d0ddc59f3a,S60,EUR/CHF OTC,2025-11-12 20:21:57,2025-11-12 20:22:57,0.94302,0.94235,2.8,-2.8,USD
call,43e99207-e76b-475a-a092-02c55e187da5,S60,EUR/GBP OTC,2025-11-12 20:19:51,2025-11-12 20:20:51,0.88657,0.88672,2.72,2.04,USD
put,5fbdb9b9-4a87-45b7-b8be-74b39acdcaed,S5,AUD/USD OTC,2025-11-12 20:20:05,2025-11-12 20:20:10,0.6446,0.6444,2.66,2.29,USD
call,02270aea-9635-408a-b1dd-dd207253202a,S60,EUR/GBP OTC,2025-11-12 20:18:46,2025-11-12 20:19:46,0.88619,0.88656,2.58,1.94,USD
put,83fd330a-e19a-444c-be4e-b083ac898320,S60,AUD/NZD OTC,2025-11-12 20:18:00,2025-11-12 20:19:00,1.29993,1.29719,2.54,2.34,USD
call,59765f58-f04e-4431-b665-01e7cd960b07,S60,EUR/GBP OTC,2025-11-12 20:17:40,2025-11-12 20:18:40,0.88627,0.88604,2.59,-2.59,USD
put,c6122237-0a3d-4d15-a01f-41b07b40e528,S60,OMR/CNY OTC,2025-11-12 20:17:27,2025-11-12 20:18:27,18.47655,18.47642,2.64,2.09,USD
call,cdb27b34-75d2-49c5-9cd0-1a26f97dadc8,S60,USD/BRL OTC,2025-11-12 20:16:27,2025-11-12 20:17:27,5.3714,5.3606,2.51,-2.51,USD
put,7a141dac-2a8c-4875-87c7-91b084db539f,S60,USD/PKR OTC,2025-11-12 20:16:13,2025-11-12 20:17:13,269.45,269.438,2.56,2.33,USD
put,35a3e1ac-2147-4b83-acab-bb6cea6610f5,S60,USD/THB OTC,2025-11-12 20:15:42,2025-11-12 20:16:42,36.52235,36.52223,2.51,1.83,USD
put,00fe89e3-21d5-46be-847d-7fe67a82e8f5,S60,USD/RUB OTC,2025-11-12 20:15:00,2025-11-12 20:16:00,74.9759,74.9745,2.56,2.36,USD
put,5226a816-5562-43aa-a330-75f5c54963d3,S60,USD/THB OTC,2025-11-12 20:14:38,2025-11-12 20:15:38,36.5223,36.52244,2.61,-2.61,USD
call,65aeac57-fe5d-4442-bc54-3f4018ed01df,S60,EUR/GBP OTC,2025-11-12 20:13:46,2025-11-12 20:14:46,0.88515,0.88427,2.67,-2.67,USD
call,767bc6b2-1c68-4d9b-a5b1-b28429549225,S5,EUR/GBP OTC,2025-11-12 20:13:30,2025-11-12 20:13:35,0.88537,0.88531,2.72,-2.72,USD
call,0739e18e-4723-4cb6-ae4c-6cc4358a24a4,S60,EUR/GBP OTC,2025-11-12 20:12:21,2025-11-12 20:13:21,0.88518,0.88535,1.31,1.02,USD
call,1a0c3fa7-b5c9-41dd-a4be-c38aa50c5c1c,S60,EUR/TRY OTC,2025-11-12 20:12:14,2025-11-12 20:13:14,48.4771,48.47713,1.33,1.22,USD
put,3e46e236-3a84-4592-a2f6-67c708cf5a68,S60,OMR/CNY OTC,2025-11-12 20:11:41,2025-11-12 20:12:41,18.47669,18.47702,1.34,-1.34,USD
call,d04274cf-c720-4b70-b389-652d1d2b2f35,S5,EUR/GBP OTC,2025-11-12 20:12:28,2025-11-12 20:12:33,0.88552,0.88564,1.3,1.01,USD
put,af3202ed-7677-42d9-a2ad-6931ab292812,S5,OMR/CNY OTC,2025-11-12 20:11:38,2025-11-12 20:11:43,18.47668,18.47676,1.35,-1.35,USD
put,4569d012-d182-4902-8f10-1df9d54f96f0,S60,OMR/CNY OTC,2025-11-12 20:10:31,2025-11-12 20:11:31,18.47708,18.47682,1.34,1.07,USD
put,64bfc8ba-ba99-49d8-9e44-496c45d3755f,S60,USD/RUB OTC,2025-11-12 20:10:17,2025-11-12 20:11:17,74.9773,74.9805,1.36,-1.36,USD
put,de50458c-ca27-483d-a7f4-9f2c18202b07,S60,USD/RUB OTC,2025-11-12 20:08:47,2025-11-12 20:09:47,74.9797,74.9773,2.65,2.44,USD
put,4f6c2dcc-0e5c-4c68-b253-2d19e58182dc,S5,USD/RUB OTC,2025-11-12 20:09:42,2025-11-12 20:09:47,74.9772,74.9773,1.32,-1.32,USD
put,f1108690-f17b-451c-a49e-1ebc8072d856,S5,USD/RUB OTC,2025-11-12 20:09:09,2025-11-12 20:09:14,74.9782,74.9772,2.59,2.38,USD
put,1452a3c3-4129-4631-a1f3-70ac7477c98b,S5,USD/RUB OTC,2025-11-12 20:08:38,2025-11-12 20:08:43,74.9808,74.9802,2.6,2.39,USD
call,80d6531b-b342-4339-a56e-2be5009cbe44,S5,CHF/JPY OTC,2025-11-12 20:07:49,2025-11-12 20:07:54,192.333,192.348,1.29,1.19,USD
call,5cc5614f-ec2d-4ed4-8f7b-f255d16d8c3d,S5,CHF/JPY OTC,2025-11-12 20:07:37,2025-11-12 20:07:42,192.36,192.317,1.28,-1.28,USD
put,731f2fe9-7bd5-47b8-b86c-091f14ad3011,S60,EUR/USD OTC,2025-11-12 20:06:39,2025-11-12 20:07:39,1.14962,1.14909,1.26,1.16,USD
put,e7e79200-e7f9-49e3-ada7-d749fc3ea434,S120,CHF/JPY OTC,2025-11-12 20:05:23,2025-11-12 20:07:23,192.267,192.321,2.58,-2.58,USD
put,ab44c955-374f-44bf-9623-1733f088dc8b,S120,CHF/JPY OTC,2025-11-12 20:04:47,2025-11-12 20:06:47,192.426,192.209,1.3,1.2,USD
put,c98411b2-b131-48ff-bb30-8a3986340d8c,S60,AUD/NZD OTC,2025-11-12 20:03:51,2025-11-12 20:04:51,1.3029,1.30396,1.29,-1.29,USD
put,59ddf66e-d1cf-4548-a58d-de5df2d329ab,S60,CHF/JPY OTC,2025-11-12 20:03:36,2025-11-12 20:04:36,192.537,192.476,1.3,1.2,USD
